City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
468,Biak,ID,75.09,broken clouds,-0.9131,122.8766,Penginapan Kim
469,Mitsamiouli,KM,76.68,light rain,-11.3847,43.2844,Foyer ADM
471,Port-Gentil,GA,80.56,overcast clouds,-0.7193,8.7815,Fengshui Residence
473,Fukue,JP,79.66,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
479,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
482,Mao,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
484,Casablanca,MA,79.02,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
485,Port Blair,IN,82.63,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
491,Hyeres,FR,88.74,clear sky,43.1167,6.1167,Hôtel des Palmiers
492,Nampula,MZ,78.75,broken clouds,-15.1165,39.2666,BUTIK Hotel
496,Broome,US,82.81,clear sky,42.2506,-75.833,Chenango Valley State Park
499,North Branch,US,75.85,overcast clouds,45.5113,-92.9802,AmericInn by Wyndham North Branch
503,Virginia Beach,US,77.05,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
505,Katsuura,JP,82.51,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
509,Lubyany,RU,78.44,broken clouds,56.0378,51.4,
511,Sokoto,NG,89.51,overcast clouds,13.0609,5.239,Shukura Coral Hotel
512,San Patricio,US,89.91,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
513,Manokwari,ID,77.18,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
514,Sembakung,ID,80.53,overcast clouds,3.8167,117.25,
517,Tual,ID,79.92,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
518,Mattru,SL,80.6,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
520,Yima,CN,76.53,light rain,34.7381,111.8839,Yima Hotel
522,Prado,BR,75.15,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
525,Loandjili,CG,78.91,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
528,Ridgecrest,US,88.02,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
534,Labuan,MY,82.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
535,Aden,YE,87.13,few clouds,12.7794,45.0367,Sama Emirate Hotel
537,Winslow,US,83.97,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
538,Ahuimanu,US,75.85,few clouds,21.4447,-157.8378,Paradise Bay Resort
543,Dawei,MM,78.22,broken clouds,14.0833,98.2,Hotel Dawei
546,Itiuba,BR,82.74,broken clouds,-10.6917,-39.8536,PRÉDIO SOUSA MOTOS
547,Santa Clara,CU,86.77,scattered clouds,22.4,-79.9667,El Carmen
549,Trat,TH,77.9,overcast clouds,12.5,102.5,สวนหนิง-อัศ
551,Itarema,BR,88.09,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
556,Vung Tau,VN,82.31,light rain,10.346,107.0843,Green hotel
558,Clinton,US,82.22,mist,42.587,-82.9199,Hampton Inn Detroit/Roseville
561,Doka,SD,76.84,overcast clouds,13.5167,35.7667,
565,Mayo,US,85.26,few clouds,38.8876,-76.5119,Resorts Resource Group International
566,Ushtobe,KZ,81.84,scattered clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
568,Lincoln,US,77.38,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
569,Ixtapa,MX,83.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
572,Kanker,IN,78.78,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
576,Indiaroba,BR,79.65,overcast clouds,-11.5192,-37.5117,Pura Vida Bahia
577,Le Pont-De-Claix,FR,77.81,overcast clouds,45.1244,5.7064,PoMo Hotel & Restaurant
580,Hobyo,SO,77.16,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
583,Valencia,ES,77.76,overcast clouds,39.3333,-0.8333,Masia El Pino
586,Inyonga,TZ,80.19,scattered clouds,-6.7167,32.0667,Eden Rock Lodge
597,Myanaung,MM,80.4,overcast clouds,18.2833,95.3167,Taung Hlay Khar
598,Asau,RO,84.4,few clouds,46.4333,26.4,Casa Mika Ciobanus
599,Clemson,US,86.2,clear sky,34.6834,-82.8374,Courtyard by Marriott Clemson
600,Pointe Michel,DM,86.94,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
602,Caravelas,BR,76.15,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
603,Zharkent,KZ,76.62,clear sky,44.1628,80.0,гостиница Satti
604,Puerto Madero,MX,80.78,overcast clouds,14.7208,-92.4215,Hotel La Central
605,Aksay,RU,89.89,overcast clouds,47.26,39.87,Chernaya Zhemchuzhina
607,Derbent,RU,88.11,few clouds,42.0678,48.2899,Elit
612,Itoman,JP,81.37,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
613,Agogo,GH,77.04,light rain,6.8,-1.0819,Tele Centre Hotel
615,Samarai,PG,77.99,overcast clouds,-10.6167,150.6667,Nuli Sapi
616,Rodrigues Alves,BR,89.8,clear sky,-7.738,-72.6509,Pousada Aconchego
618,Sol-Iletsk,RU,77.77,scattered clouds,51.1631,54.9918,Raduzhnaya
619,Hami,CN,86.38,scattered clouds,42.8,93.45,Laoyutang Resort
620,Van Wert,US,82.38,clear sky,40.8695,-84.5841,"Holiday Inn Express & Suites Van Wert, an IHG Hotel"
627,Alcantara,BR,88.0,clear sky,-2.4089,-44.4147,Pousada da Josefa
629,Menongue,AO,82.26,scattered clouds,-14.6585,17.691,Ritz Lauca
635,Meadow Lake,US,81.39,clear sky,34.8014,-106.5436,TumbleWeed RV Park
637,Thanh Hoa,VN,86.29,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
638,Tiznit,MA,75.2,clear sky,29.5833,-9.5,
639,Gizo,SB,80.24,light rain,-8.103,156.8419,Imagination Island
640,Tubmanburg,LR,79.36,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
643,Pilani,IN,89.04,scattered clouds,28.3684,75.6041,Hotel Sunshine
647,Soubre,CI,83.44,light rain,5.7856,-6.6083,Lynd Hotels Soubre
648,Tabou,CI,79.86,light rain,4.423,-7.3528,hotêl doufoulougou
650,Sulangan,PH,83.25,overcast clouds,11.1373,123.7228,Maia's Beach Resort
654,Tomatlan,MX,85.1,broken clouds,19.9333,-105.25,El Salvial
656,Padang,ID,80.65,broken clouds,-0.9492,100.3543,Mercure Padang
662,Utinga,BR,81.45,broken clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
667,Pyu,MM,76.37,overcast clouds,18.4833,96.4333,Mr Bo Bo
671,Pasighat,IN,79.5,overcast clouds,28.0667,95.3333,Siang Guest House
683,Maku,IR,82.44,broken clouds,39.2911,44.4521,Maku Tourist Hotel
687,Sainte-Martine,CA,78.89,scattered clouds,45.2501,-73.7992,Motel Sainte Martine
691,Reconquista,AR,81.0,broken clouds,-29.15,-59.65,Grand Hotel
692,Miandrivazo,MG,76.24,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
693,Bacolod,PH,78.15,light rain,10.6667,122.95,Planta Hotel & Residences
695,Cao Bang,VN,80.13,overcast clouds,22.6667,106.25,khách sạn 88
703,Kaifeng,CN,83.26,light rain,34.7911,114.3483,Pullman Kaifeng Jianye
704,Palmas Bellas,PA,87.39,broken clouds,9.2319,-80.0867,Estación de Chagres
705,Qidong,CN,82.04,clear sky,31.8128,121.6561,Hilton Garden Inn Qidong
